MSSubClass,LotFrontage,LotArea,Street,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,SalePrice
60,,9375,Pave,7,5,573.0,739,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,2,645,2,219500
60,76.0,9591,Pave,8,5,344.0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,3,852,10,317000
20,,19900,Pave,7,5,287.0,912,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,2,576,7,180000
20,72.0,10665,Pave,7,5,167.0,1013,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2,558,6,226000
30,47.0,4608,Pave,4,6,0.0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1,220,6,80000
50,81.0,15593,Pave,7,4,0.0,603,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,2,667,7,225000
20,95.0,13651,Pave,7,6,1115.0,1880,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,2,516,2,244000
20,69.0,7599,Pave,4,6,0.0,565,280,845,845,0,0,845,1,0,1,0,2,1,4,0,2,360,6,129500
60,74.0,10141,Pave,7,5,40.0,0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,2,427,12,185000
20,85.0,10200,Pave,5,7,104.0,320,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,2,490,5,144900
50,60.0,5790,Pave,3,6,0.0,0,840,840,840,765,0,1605,0,0,2,0,3,2,8,0,1,379,5,107400
180,21.0,1596,Pave,4,5,0.0,462,0,462,526,462,0,988,1,0,1,0,2,1,5,0,1,297,11,91000
20,,8475,Pave,4,7,0.0,228,724,952,952,0,0,952,0,0,1,0,2,1,4,0,1,283,4,135750
50,50.0,8635,Pave,5,5,0.0,336,295,672,1072,213,0,1285,1,0,1,0,2,1,6,0,1,240,1,127000
90,72.0,10778,Pave,4,5,0.0,0,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,0,0,4,136500
50,60.0,10440,Pave,5,6,0.0,0,440,440,682,548,0,1230,0,0,1,1,2,1,5,0,2,440,5,110000
60,100.0,13000,Pave,6,6,576.0,448,448,896,1182,960,0,2142,0,0,2,1,4,1,8,1,1,509,6,193500
120,32.0,4500,Pave,6,5,443.0,1201,36,1237,1337,0,0,1337,1,0,2,0,2,1,5,0,2,405,3,153500
20,78.0,10206,Pave,8,5,468.0,33,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,3,758,10,245000
20,80.0,8892,Pave,5,5,66.0,0,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,2,461,7,126500
80,,8530,Pave,7,5,22.0,0,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,2,400,5,168500
60,121.0,16059,Pave,8,5,284.0,0,1288,1288,1301,1116,0,2417,0,0,2,1,4,1,9,1,2,462,4,260000
60,122.0,11911,Pave,6,5,0.0,0,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,2,400,3,174000
160,40.0,3951,Pave,6,5,76.0,0,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,2,528,6,164500
50,105.0,8470,Pave,3,2,0.0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,10,85000
20,60.0,8070,Pave,4,5,0.0,588,402,990,990,0,0,990,1,0,1,0,3,1,5,0,0,0,8,123600
20,60.0,7200,Pave,4,5,0.0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,4,0,2,420,7,109900
20,85.0,8500,Pave,5,3,203.0,600,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,2,480,12,98600
30,80.0,13360,Pave,5,7,0.0,713,163,876,964,0,0,964,1,0,1,0,2,1,5,0,2,432,8,163500
190,60.0,7200,Pave,6,6,0.0,1046,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,2,506,11,133900
60,69.0,9337,Pave,6,5,0.0,648,176,824,905,881,0,1786,1,0,2,1,3,1,7,0,2,684,5,204750
60,,9765,Pave,6,8,68.0,310,370,680,680,790,0,1470,0,0,2,1,3,1,6,1,2,420,4,185000
20,78.0,10264,Pave,7,5,183.0,1162,426,1588,1588,0,0,1588,0,0,2,0,3,1,6,0,2,472,8,214000
20,73.0,10921,Pave,4,5,48.0,520,440,960,960,0,0,960,1,0,1,0,3,1,6,0,1,432,5,94750
30,85.0,10625,Pave,5,5,0.0,108,350,458,835,0,0,835,0,0,1,0,2,1,5,0,1,366,5,83000
20,77.0,9320,Pave,4,5,0.0,569,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,0,0,1,128950
20,,10603,Pave,6,7,28.0,1200,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,2,480,2,205000
60,77.0,9206,Pave,6,5,336.0,0,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,2,476,6,178000
90,64.0,7018,Pave,5,5,0.0,0,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,2,410,6,118964
20,94.0,10402,Pave,7,5,0.0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,3,740,5,198900
50,,7758,Pave,7,4,600.0,224,816,1040,1226,592,0,1818,0,0,1,1,4,1,7,2,1,240,6,169500
60,75.0,9375,Pave,8,5,768.0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2,648,8,250000
30,60.0,10800,Pave,4,7,0.0,0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1,273,8,100000
20,50.0,6000,Pave,5,5,0.0,104,516,789,789,0,0,789,0,0,1,0,2,1,5,0,1,250,4,115000
50,85.0,8500,Pave,5,7,0.0,0,793,793,997,520,0,1517,0,0,2,0,3,1,7,0,0,0,8,115000
20,105.0,11751,Pave,6,6,480.0,705,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,2,546,1,190000
50,75.0,9525,Pave,6,4,0.0,444,550,994,1216,639,0,1855,0,0,2,0,4,1,7,0,1,325,10,136900
80,,7750,Pave,7,5,0.0,250,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2,400,4,180000
60,77.0,9965,Pave,7,5,220.0,984,280,1264,1282,1414,0,2696,1,0,2,1,4,1,10,1,3,792,10,383970
20,,21000,Pave,6,5,184.0,35,905,1809,2259,0,0,2259,1,0,2,0,3,1,7,2,2,450,10,217000
70,61.0,7259,Pave,6,8,0.0,774,104,1028,1436,884,0,2320,1,0,2,1,3,1,9,1,1,180,7,259500
160,34.0,3230,Pave,6,5,1129.0,419,310,729,729,729,0,1458,0,0,2,1,2,1,5,1,2,440,6,176000
20,,11616,Pave,5,5,116.0,170,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,1,288,9,139000
20,74.0,8536,Pave,5,5,0.0,0,1125,1125,1125,0,0,1125,0,0,1,1,2,1,5,0,2,430,4,155000
60,90.0,12376,Pave,7,5,0.0,1470,203,1673,1699,1523,0,3222,1,0,3,0,5,1,11,2,3,594,5,320000
60,65.0,8461,Pave,6,5,0.0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2,390,7,163990
80,,21453,Pave,6,5,0.0,938,0,938,988,0,0,988,1,0,1,0,1,1,4,2,2,540,10,180000
50,50.0,6060,Pave,4,5,0.0,0,732,732,772,351,0,1123,0,0,1,0,3,1,4,0,1,264,6,100000
20,75.0,9464,Pave,6,7,135.0,570,510,1080,1080,0,0,1080,0,0,1,0,3,1,5,0,1,288,6,136000
120,55.0,7892,Pave,6,5,0.0,300,899,1199,1199,0,0,1199,0,0,2,0,2,1,5,0,2,530,3,153900
20,48.0,17043,Pave,6,5,0.0,0,1362,1362,1586,0,0,1586,0,0,2,0,3,1,7,1,2,435,1,181000
190,60.0,6780,Pave,6,8,0.0,490,30,520,520,0,234,754,1,0,1,0,2,1,5,0,0,0,6,84500
120,,4928,Pave,6,5,0.0,120,958,1078,958,0,0,958,0,0,2,0,2,1,5,1,2,440,2,128000
45,55.0,4388,Pave,5,7,0.0,116,556,672,840,0,0,840,0,0,1,0,3,1,5,1,0,0,6,87000
60,69.0,7590,Pave,6,5,266.0,512,148,660,660,688,0,1348,0,0,1,1,3,1,6,1,2,453,7,155000
20,69.0,8973,Pave,5,7,85.0,567,413,1008,1053,0,0,1053,0,1,1,1,3,1,6,0,2,750,7,150000
60,88.0,14200,Pave,7,6,309.0,445,479,924,1216,941,0,2157,0,0,2,1,4,1,8,2,2,487,5,226000
60,,12224,Pave,6,5,40.0,695,297,992,1022,1032,0,2054,1,0,2,1,3,1,7,1,2,390,7,244000
20,75.0,7388,Pave,5,6,0.0,405,658,1063,1327,0,0,1327,1,0,1,0,3,1,7,0,2,624,7,150750
20,,6853,Pave,8,5,136.0,1005,262,1267,1296,0,0,1296,1,0,2,0,2,1,6,0,2,471,6,220000
20,78.0,10335,Pave,5,6,0.0,570,891,1461,1721,0,0,1721,0,0,2,1,3,1,7,1,2,440,7,180000
20,80.0,10400,Pave,7,6,288.0,0,1304,1304,1682,0,0,1682,0,0,2,0,3,1,7,1,2,530,5,174000
20,,10355,Pave,5,5,196.0,695,519,1214,1214,0,0,1214,0,0,2,0,3,1,5,1,1,318,7,143000
90,82.0,11070,Pave,7,5,70.0,0,1907,1907,1959,0,0,1959,0,0,3,0,5,2,9,0,3,766,7,171000
60,73.0,9066,Pave,8,5,320.0,668,336,1004,1004,848,0,1852,0,0,2,1,3,1,7,2,3,660,12,230000
60,65.0,15426,Pave,6,5,0.0,821,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,2,470,8,231500
20,70.0,10500,Pave,4,5,0.0,432,432,864,864,0,0,864,0,0,1,0,3,1,5,1,0,0,4,115000
20,78.0,11645,Pave,7,5,0.0,1300,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,2,660,1,260000
50,71.0,8520,Pave,5,4,0.0,507,403,910,910,475,0,1385,0,0,2,0,4,1,6,0,2,720,6,166000
20,78.0,10335,Pave,7,5,183.0,679,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,2,577,6,204000
90,70.0,9100,Pave,5,5,336.0,1332,396,1728,1728,0,0,1728,1,0,2,0,6,2,10,0,2,504,11,125000
160,24.0,2522,Pave,6,5,50.0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,4,130000
30,51.0,6120,Pave,5,7,0.0,209,506,715,875,0,0,875,1,0,1,0,2,1,5,0,1,180,11,105000
60,,9505,Pave,7,5,180.0,0,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,2,434,5,222500
20,63.0,7500,Pave,7,5,120.0,680,400,1080,1080,0,0,1080,1,0,1,0,3,1,6,0,0,0,4,141000
50,,6240,Pave,5,4,0.0,0,896,896,896,448,0,1344,0,0,1,0,3,1,7,0,1,240,4,115000
20,120.0,10356,Pave,5,6,0.0,716,253,969,969,0,0,969,0,0,1,1,3,1,5,0,2,440,1,122000
20,107.0,13891,Pave,8,5,436.0,1400,310,1710,1710,0,0,1710,1,0,2,0,2,1,6,1,3,866,1,372402
60,,14803,Pave,6,5,252.0,416,409,825,1097,896,0,1993,0,0,2,1,4,1,8,1,2,495,6,190000
20,,13500,Pave,6,7,0.0,429,93,1602,1252,0,0,1252,1,0,1,0,1,1,4,1,2,564,3,235000
30,84.0,11340,Pave,6,5,0.0,0,1200,1200,1200,0,0,1200,0,0,1,0,4,1,7,0,1,312,3,125000
50,60.0,9600,Pave,6,5,0.0,0,572,572,572,524,0,1096,0,0,1,0,2,1,5,0,0,0,4,79000
20,60.0,7200,Pave,5,7,0.0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,5,0,2,625,6,109500
60,92.0,12003,Pave,8,5,84.0,0,774,774,774,1194,0,1968,0,0,2,1,4,1,8,1,3,680,5,269500
60,100.0,12552,Pave,7,5,0.0,222,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2,678,5,254900
60,134.0,19378,Pave,7,5,456.0,57,1335,1392,1392,1070,0,2462,1,0,2,1,4,1,9,1,2,576,3,320000
20,,11120,Pave,6,6,0.0,660,572,1232,1232,0,0,1232,0,0,2,0,3,1,6,0,2,516,6,162500
60,110.0,13688,Pave,9,5,664.0,1016,556,1572,1572,1096,0,2668,1,0,2,1,3,1,10,2,3,726,3,412500
20,95.0,12182,Pave,7,5,226.0,1201,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2,532,5,220000
45,55.0,5500,Pave,4,6,0.0,0,882,882,882,0,0,882,0,0,1,0,1,1,4,0,0,0,4,103200
40,40.0,5400,Pave,6,7,0.0,370,779,1149,1149,467,0,1616,0,0,2,0,3,1,5,0,1,216,10,152000
190,62.0,10106,Pave,5,7,0.0,351,112,644,808,547,0,1355,1,0,2,0,4,2,6,0,0,0,9,127500
20,,10708,Pave,5,5,0.0,379,470,1617,1867,0,0,1867,1,0,1,0,2,1,7,3,1,303,11,190000
60,86.0,10562,Pave,8,5,300.0,1288,294,1582,1610,551,0,2161,1,0,1,1,3,1,8,1,3,789,11,325624
60,62.0,8244,Pave,7,5,0.0,0,840,840,840,880,0,1720,0,0,2,1,3,1,7,1,2,440,5,183500
20,,16669,Pave,8,6,653.0,0,1686,1686,1707,0,0,1707,0,0,2,1,2,1,6,1,2,511,1,228000
50,,12358,Pave,5,6,0.0,360,360,720,854,0,528,1382,0,0,1,1,2,1,7,0,2,660,5,128500
20,141.0,31770,Pave,6,5,112.0,639,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,2,528,5,215000
160,44.0,5306,Pave,7,7,0.0,495,354,1064,1064,703,0,1767,1,0,2,0,2,1,5,1,2,504,6,239000
20,80.0,10197,Pave,6,5,491.0,288,700,1362,1362,0,0,1362,1,0,1,1,3,1,6,1,2,504,6,163000
20,47.0,12416,Pave,6,5,132.0,1398,0,1606,1651,0,0,1651,1,0,2,0,3,1,7,1,2,616,11,184000
20,84.0,12615,Pave,6,7,0.0,477,725,1202,2158,0,0,2158,1,0,2,0,4,1,7,1,2,576,6,243000
60,97.0,10029,Pave,6,5,268.0,831,320,1151,1164,896,0,2060,0,1,2,1,4,1,8,1,2,521,9,211000
50,,13650,Pave,5,5,0.0,57,554,1052,1252,668,0,1920,1,0,2,0,4,1,8,1,2,451,7,172500
20,63.0,17423,Pave,9,5,748.0,1904,312,2216,2234,0,0,2234,1,0,2,0,1,1,9,1,3,1166,7,501837
30,60.0,8520,Pave,5,6,0.0,0,968,968,968,0,0,968,0,0,1,0,2,1,5,0,2,480,7,100000
160,,2117,Pave,6,5,456.0,436,320,756,769,756,0,1525,0,0,2,1,3,1,5,1,2,440,6,177000
70,54.0,7588,Pave,7,6,0.0,352,441,793,901,901,0,1802,0,0,1,1,4,1,9,1,1,216,7,200100
20,60.0,9060,Pave,5,6,98.0,0,0,0,1340,0,0,1340,0,0,1,0,3,1,7,1,1,252,6,120000
50,63.0,11426,Pave,7,5,0.0,0,1362,1362,1362,720,0,2082,0,0,2,1,3,1,6,0,2,484,6,200000
50,92.0,7438,Pave,5,8,0.0,0,504,504,936,316,0,1252,0,0,1,0,3,1,5,0,2,576,6,127000
75,90.0,22950,Pave,10,9,0.0,0,1107,1107,1518,1518,572,3608,0,0,2,1,4,1,12,2,3,840,6,475000
80,,9947,Pave,7,5,0.0,611,577,1188,1217,0,0,1217,1,0,2,0,3,1,6,0,2,497,6,173000
50,60.0,10410,Pave,5,7,0.0,0,660,660,808,704,144,1656,0,0,2,1,3,1,8,0,1,180,8,135000
90,64.0,7018,Pave,5,5,275.0,1086,0,1086,1224,0,0,1224,2,0,0,2,2,2,6,2,2,528,6,153337
120,41.0,4923,Pave,8,5,0.0,1153,440,1593,1593,0,0,1593,1,0,1,1,0,1,5,1,2,682,8,286000
70,70.0,10570,Pave,8,8,0.0,297,556,853,1549,1178,0,2727,0,0,2,1,3,1,10,2,2,440,12,315000
60,,7472,Pave,7,9,138.0,626,99,725,725,754,0,1479,1,0,1,1,4,1,7,0,2,484,6,184000
20,68.0,9017,Pave,7,5,0.0,560,871,1431,1431,0,0,1431,1,0,2,0,3,1,6,0,2,666,9,192000
160,24.0,2522,Pave,7,5,50.0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,5,130000
20,60.0,7180,Pave,5,7,0.0,390,474,864,864,0,0,864,0,0,1,0,3,1,5,0,1,352,5,127000
160,24.0,2280,Pave,6,6,0.0,566,289,855,855,601,0,1456,0,0,2,1,3,1,7,1,2,440,7,148500
20,79.0,9416,Pave,7,5,205.0,1126,600,1726,1726,0,0,1726,1,0,2,0,3,1,8,1,3,786,9,311872
75,174.0,25419,Pave,8,4,0.0,1036,140,1360,1360,1360,392,3112,1,1,2,0,4,1,8,1,2,795,3,235000
75,92.0,5520,Pave,6,6,0.0,0,755,755,929,929,371,2229,0,0,1,0,5,1,8,0,0,0,7,104000
20,76.0,9591,Pave,8,5,262.0,1088,625,1713,1713,0,0,1713,1,0,2,0,3,1,7,1,3,856,1,274900
20,80.0,8546,Pave,4,5,0.0,0,1121,1121,1121,0,0,1121,0,0,2,0,2,1,5,0,2,440,3,140000
20,75.0,10125,Pave,6,6,0.0,641,276,1196,1279,0,0,1279,0,1,2,0,3,1,6,2,2,473,2,171500
50,50.0,7000,Pave,6,6,0.0,617,0,617,865,445,0,1310,0,0,2,0,2,1,6,0,1,398,5,112000
120,,4438,Pave,6,5,205.0,662,186,848,848,0,0,848,1,0,1,0,1,1,3,1,2,420,1,149000
50,50.0,3500,Pave,5,7,0.0,312,408,720,720,564,0,1284,0,0,1,1,2,1,5,0,1,240,4,110000
20,99.0,11851,Pave,7,5,0.0,0,1424,1424,1442,0,0,1442,0,0,2,0,3,1,5,0,2,500,5,180500
20,40.0,13673,Pave,5,5,0.0,0,1140,1140,1696,0,0,1696,0,0,1,1,3,1,8,1,1,349,3,143900
20,,12493,Pave,4,5,0.0,419,375,1100,1100,0,0,1100,1,0,1,0,3,1,6,1,1,312,4,141000
60,,14364,Pave,7,5,128.0,1065,92,1157,1180,882,0,2062,1,0,2,1,3,1,7,1,2,454,4,277000
20,75.0,8250,Pave,6,7,260.0,787,305,1092,1092,0,0,1092,1,0,1,0,3,1,6,0,2,504,7,145000
30,67.0,5604,Pave,5,6,0.0,468,396,864,864,0,0,864,1,0,1,0,2,1,5,0,0,0,4,98000
20,83.0,10420,Pave,6,5,0.0,36,1176,1212,1212,0,0,1212,0,0,2,0,3,1,6,0,2,460,3,186000
60,72.0,8640,Pave,7,5,0.0,822,78,900,932,920,0,1852,1,0,2,1,3,1,7,1,2,644,7,252678
20,43.0,13568,Pave,5,5,0.0,716,274,990,990,0,0,990,0,1,1,0,3,1,5,0,2,576,7,156000
60,,10900,Pave,6,7,153.0,378,311,689,689,703,0,1392,0,0,1,1,3,1,6,0,1,299,3,161750
20,72.0,10011,Pave,5,6,64.0,360,710,1070,1236,0,0,1236,0,1,1,0,2,1,6,1,1,447,5,134450
20,65.0,8450,Pave,7,5,266.0,946,490,1436,1436,0,0,1436,1,0,2,0,3,1,8,0,2,484,4,210000
70,57.0,9906,Pave,4,4,0.0,0,686,686,810,518,0,1328,0,0,1,0,3,1,8,0,1,210,9,107000
50,,15660,Pave,7,9,312.0,341,457,798,1137,817,0,1954,0,1,1,1,3,1,8,2,2,431,5,311500
